,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
0,POINT (4.837197221746335 50.46680461534107),2457.0,0.004246998372017317,10.434875000046548,17493.066666666666,0.08456375838926175,0.02435666743413419,0.29891334684387577,0.6156692319249907
1,POINT (4.833648868997162 50.46384977792561),2457.0,0.0003750018980979243,0.9213796636266,17493.066666666666,0.08456375838926175,0.002150647520686871,0.29891334684387577,0.054362425023180894
2,POINT (4.833898597477207 50.4641295315848),2457.0,0.0003750018980979243,0.9213796636266,17493.066666666666,0.08456375838926175,0.002150647520686871,0.29891334684387577,0.054362425023180894
3,POINT (4.832542029600857 50.46001546384229),2835.0,0.003990871826902517,11.314121629268636,17493.066666666666,0.09757356737222508,0.02288777375112302,0.29891334684387577,0.6675457610528801
4,POINT (5.515624237068197 51.61645615485665),13.0,0.011683125694177565,0.15188063402430835,4360.0,0.00044742729306487697,0.0670030883456884,0.07450164211188233,0.002233485507078886
5,POINT (5.477296560964811 51.63702607157793),42.0,0.012494701268769021,0.524777453288299,4360.0,0.0014455343314403717,0.07165749944653396,0.07450164211188233,0.007717131574349313
6,POINT (6.188249338546229 52.14326300199266),3652.0,0.003714610707816021,13.56575830494411,10753.866666666667,0.1256926518671485,0.021303407661673508,0.18375704718323418,0.4920429013792983
7,POINT (6.185781964623702 52.118061988358306),31.0,0.024513774805276115,0.7599270189635595,10753.866666666667,0.001066942006539322,0.14058725909135653,0.18375704718323418,0.02756327267831943
8,POINT (6.129349390861525 52.01936459209656),34.0,0.00012296181525368578,0.004180701718625317,10753.866666666667,0.0011701944587850627,0.0007051898255870726,0.18375704718323418,0.00015163801073207273
9,POINT (6.129405842699147 52.01947382944383),34.0,0.00012296181525368578,0.004180701718625317,10753.866666666667,0.0011701944587850627,0.0007051898255870726,0.18375704718323418,0.00015163801073207273
10,POINT (5.990326218427765 51.97445914078365),5.0,0.004758633088355928,0.02379316544177964,10753.866666666667,0.00017208742040956807,0.027290908406705557,0.18375704718323418,0.0008630006442547438
11,POINT (5.959413275901381 51.96922382969606),65.0,0.010854024067830143,0.7055115644089592,10753.866666666667,0.0022371364653243847,0.06224816479424569,0.18375704718323418,0.02558957260663522
12,POINT (4.890425065088854 50.46558303329143),1923.0,0.004488251835089501,8.630908278877111,17493.066666666666,0.06618482188951988,0.025740263530167354,0.29891334684387577,0.5092331887873702
13,POINT (4.8795755461332835 50.46405383903892),5189.0,0.0013659703420534342,7.08802010491527,17493.066666666666,0.17859232490104973,0.007833882293315454,0.29891334684387577,0.4182010703379398
14,POINT (4.875247233210635 50.46225316277786),5189.0,8.21376879170499e-05,0.426212462601572,17493.066666666666,0.17859232490104973,0.00047106218867091413,0.29891334684387577,0.025147009378224276
15,POINT (4.875414995482969 50.46232698073104),5189.0,0.00018328466992739785,0.9510641522532675,17493.066666666666,0.17859232490104973,0.0010511432687637682,0.29891334684387577,0.05611384287081058
16,POINT (4.8751720517631085 50.46222008182074),5189.0,8.21376879170499e-05,0.426212462601572,17493.066666666666,0.17859232490104973,0.00047106218867091413,0.29891334684387577,0.025147009378224276
